priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
840,Tasty Bite Protein Bowls,/go/tasty-bite-protein-bowls/,US,shelf-stable meals,ready-to-eat shelf-stable bowls and Indian meals for quick pantry dinner searches,https://www.tastybite.com/collections/all,retail affiliate,Add product-route variant for ready-to-eat bowl searches,route_ready_affiliate_pending
841,Tasty9,/go/tasty9/,South Korea,prepared meals,South Korean ready meal and home meal replacement brand tied to Fresheasy market ecosystem,https://www.tasty9.co.kr/,direct partnership,Add to Korea prepared meal challenger pages,route_ready_affiliate_pending
842,TastyTable FOOD,/go/tastytable-food/,Japan,meal kit,Japanese premium cooking kit and dinner box candidate,https://tastytable-food.com/,direct partnership,Add to Japan premium meal-kit challenger pages,route_ready_affiliate_pending
843,Teletál,/go/telet-l/,Hungary,prepared meals,Hungarian prepared meal and daily lunch delivery brand with broad ready-meal demand,https://www.teletal.hu/,direct partnership,Add to Hungary prepared meal pages,route_ready_affiliate_pending
844,Tempo by Home Chef,/go/tempo-by-home-chef/,US,prepared meals,fresh ready-to-eat prepared meals from the Home Chef family with high-protein and low-calorie positioning,https://www.homechef.com/tempo,yes,Add as Home Chef prepared-meal brand family route,route_ready_affiliate_pending
845,The Daily Cut,/go/the-daily-cut/,Singapore,prepared meals,Singapore healthy bowl brand with online ordering and delivery-partner routes for office and home meals,https://www.thedailycut.sg/,direct partnership after meal-plan fit check,Add to Singapore healthy prepared-meal alternatives with delivery-route caveat,route_ready_affiliate_pending
846,The Handmade Chef Meal Prep Co,/go/the-handmade-chef-meal-prep-co/,US,high protein meal prep,San Diego clean meal-prep company with chef-made online ordering and walk-in pickup,https://www.thcmealprepco.com/,direct partnership,Add to San Diego clean meal-prep alternatives,route_ready_affiliate_pending
847,The Hearty Grub,/go/the-hearty-grub/,Philippines,diet prepared meals,Philippines chef-designed and nutritionist-approved meal delivery with packages and customized meal plans,https://www.theheartygrubph.com/,direct partnership,Add as Philippines healthy meal-plan anchor with coverage-area caveat,route_ready_affiliate_pending
848,The Kai Box,/go/the-kai-box/,New Zealand,meal kit,New Zealand recipe box and meal-kit delivery brand for easy dinner planning,https://www.kaibox.co.nz/,direct partnership,Add to New Zealand meal-kit challenger pages,route_ready_affiliate_pending
849,The Revolution Food,/go/the-revolution-food/,Portugal,prepared meals,Portugal healthy prepared meals delivered fresh weekly with gluten-free and lactose-free positioning,https://therevolutionfood.pt/,direct partnership,Add to Portugal prepared and healthy meal delivery pages,route_ready_affiliate_pending
850,The Six Pack Chef,/go/the-six-pack-chef/,Philippines,diet prepared meals,Philippines healthy meal-plan delivery brand with nutritious high-quality meals delivered to customers,https://www.thesixpackchef.ph/,direct partnership,Add as Philippines healthy meal-plan anchor,route_ready_affiliate_pending
851,TheMeal UAE,/go/themeal-uae/,UAE,prepared meals,UAE monthly meal-plan service delivering fresh meal boxes twice weekly with trial plan option,https://www.themeal.menu/,direct partnership,Add to UAE budget and monthly meal-plan alternatives,route_ready_affiliate_pending
852,Thrive Market,/go/thrive-market/,US,grocery dinner delivery,"US membership grocery delivery brand for healthy pantry, frozen, and dinner-shortcut searches",https://thrivemarket.com/,affiliate application,Add to grocery dinner and healthy pantry pages,route_ready_affiliate_pending
853,True Dose Mexico,/go/true-dose-mexico/,Mexico,prepared meals,Mexico healthy prepared meal delivery with weekly meal plans and heat-and-eat positioning,https://truedose.mx/,direct partnership,Add to Mexico prepared meal alternatives,route_ready_affiliate_pending
854,Truly Good Foods,/go/truly-good-foods/,US,snack and pantry box,snack and pantry box supplier for healthy convenience searches with consumer-fit caveat,https://trulygoodfoods.com/,direct partnership after consumer fit check,Add only to pantry/snack box adjacent pages,route_ready_affiliate_pending
855,Tsukurioki.jp,/go/tsukurioki-jp/,Japan,prepared meals,Japanese prepared side-dish and weekly meal delivery service for families,https://www.tsukurioki.jp/,direct partnership,Add to Japan family prepared meal pages,route_ready_affiliate_pending
856,Tweakd,/go/tweakd/,UK,performance prepared meals,UK performance nutrition prepared meal brand for athlete and tailored-meal searches,https://tweakd.uk/,direct partnership after checkout check,Add with active checkout caveat,route_ready_affiliate_pending
857,Urban Crunch Meal,/go/urban-crunch-meal/,US,high protein meal prep,"Los Angeles ready-made meal-prep service with prepared meals, build-your-own meals, and proteins by the pound",https://urbancrunchmeal.com/,direct partnership,Add to LA high-protein meal-prep alternatives,route_ready_affiliate_pending
858,Veestro,/go/veestro/,US,plant-based prepared meals,formerly notable plant-based prepared meal delivery brand; account for alternatives search demand only,https://www.veestro.com/,not ready,Do not recommend until active operations are proven,route_ready_affiliate_pending
859,Vegan Kind Meal Boxes,/go/vegan-kind-meal-boxes/,UK,plant-based meals,vegan box candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
860,Vegan Masters,/go/vegan-masters/,Netherlands,frozen plant-based meals,Dutch plant-based frozen ready-meal delivery brand for vegan prepared-meal demand,https://veganmasters.nl/,direct partnership,Add to Netherlands vegan prepared-meal pages,route_ready_affiliate_pending
861,Vegin' Out,/go/vegin-out/,US,plant-based prepared meals,vegan prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
862,Viandas Cook,/go/viandas-cook/,Argentina,prepared meals,Argentina prepared meal and viandas delivery candidate with local availability to verify,https://viandascook.com.ar/,direct partnership,Add to Argentina prepared meal regional pages,route_ready_affiliate_pending
863,Vit Fit Serbia,/go/vit-fit-serbia/,Serbia,diet prepared meals,"Belgrade balanced meal delivery service with women's, men's, protein, and weight-loss packages",https://vitfit.rs/en,direct partnership,Add to Serbia healthy meal delivery alternatives,route_ready_affiliate_pending
864,Vital Pursuit,/go/vital-pursuit/,US,high protein frozen meals,portion-aligned high-protein frozen meals from Nestle for GLP-1 and weight-management-adjacent search demand,https://www.goodnes.com/vital-pursuit/,retail affiliate,Add to high-protein frozen meal pages with health-claims caveat,route_ready_affiliate_pending
865,Waitrose Ready Meals,/go/waitrose-ready-meals/,UK,grocery ready meals,Waitrose ready meal and premium grocery dinner range for UK/expat grocery delivery comparisons,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals,retail affiliate,Add with retailer availability caveat,route_ready_affiliate_pending
866,Watami no Takushoku,/go/watami-no-takushoku/,Japan,prepared meals,Japanese home-delivered prepared meal and bento service with senior/easy dinner demand,https://www.watami-takushoku.co.jp/,direct partnership,Add to Japan senior prepared meal and bento pages,route_ready_affiliate_pending
867,WeCook,/go/wecook/,Canada,prepared meals,ready-to-eat prepared meals in Canada with recurring menu and delivery positioning,https://www.wecookmeals.ca/en,direct partnership,Use as Canada prepared-meal anchor,route_ready_affiliate_pending
868,Westerly,/go/westerly/,US,premium prepared meals,Seattle and San Francisco prepared-meal delivery brand with gluten-free and dairy-free weekly menus,https://www.westerlykitchen.com/,direct partnership,Add to gluten-free and premium regional prepared-meal alternatives,route_ready_affiliate_pending
869,Wild Pastures,/go/wild-pastures/,US,protein box,regenerative meat delivery subscription for grocery dinner protein planning,https://wildpastures.com/,affiliate application,Add to protein-box adjacent pages,route_ready_affiliate_pending
870,Wildgrain,/go/wildgrain/,US,frozen bakery and dinner pantry,"subscription box for bake-from-frozen breads, pastas, pastries, and dinner pantry staples",https://wildgrain.com/,affiliate application,Add to frozen pantry and dinner helper pages,route_ready_affiliate_pending
871,Wiltshire Farm Foods,/go/wiltshire-farm-foods/,UK,frozen meals,UK frozen ready-meal delivery brand with older-adult and special-diet demand,https://www.wiltshirefarmfoods.com/,affiliate application,"Add to UK frozen, seniors, and special-diet comparisons",route_ready_affiliate_pending
872,Wingeat,/go/wingeat/,South Korea,prepared meals,South Korean prepared meal and food-commerce brand referenced in Korean meal-kit market sources,https://www.wingeat.com/,direct partnership,Add to Korea prepared meal challenger pages,route_ready_affiliate_pending
873,WoodSpoon,/go/woodspoon/,US,local chef prepared meals,local/home-cooked meal delivery app with trusted cooks and app-led ordering,https://woodspoon.app.link/WoodSpoon,direct partnership after route check,Add with app-route caveat,route_ready_affiliate_pending
874,Workout Meals,/go/workout-meals/,Australia,fitness prepared meals,Australian high-protein and performance meal-prep delivery brand,https://workoutmeals.com.au/,direct partnership,Add to AU high-protein challenger comparisons,route_ready_affiliate_pending
875,Wygodna Dieta,/go/wygodna-dieta/,Poland,diet prepared meals,Polish diet catering brand with prepared daily meal-plan delivery,https://www.wygodnadieta.pl/,direct partnership,Add to Poland diet meal challenger pages,route_ready_affiliate_pending
876,YellowFit Kitchen,/go/yellowfit-kitchen/,Indonesia,diet prepared meals,Indonesia healthy diet catering and meal plan brand with ready-to-eat diet meals,https://yellowfitkitchen.com/,direct partnership,Add as Indonesia diet prepared meal anchor,route_ready_affiliate_pending
877,Yes Krabicky,/go/yes-krabicky/,Czech Republic,diet prepared meals,Czech premium boxed-diet meal delivery from a Michelin Bib Gourmand chef route,https://yeskrabicky.cz/en,direct partnership,Add to Czech boxed diet and premium prepared meal pages,route_ready_affiliate_pending
878,yfood,/go/yfood/,Europe,complete nutrition meal replacement,ready-to-drink complete meal brand with European and UK consumer demand,https://yfood.com/en,affiliate application,Add to ready-to-drink complete meal pages,route_ready_affiliate_pending
879,YoloFoods,/go/yolofoods/,singapore,prepared meals,"Singapore healthy ready-to-eat meal plan brand with weight-loss, low-carb, vegetarian, and clean-eating demand",https://www.facebook.com/yoloFoodsSG/,direct partnership after active checkout check,Verify current ordering route before recommending as active,route_ready_affiliate_pending
880,Yorkshire Prep Kitchen,/go/yorkshire-prep-kitchen/,UK,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
881,Yoshikei,/go/yoshikei/,Japan,meal kit,Japanese home meal-kit and dinner ingredient delivery brand with broad household dinner demand,https://yoshikei-dvlp.co.jp/,direct partnership,Add to Japan meal-kit anchor pages,route_ready_affiliate_pending
882,You Plate It,/go/you-plate-it/,Australia,meal kit,verify active/inactive status,,no,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
883,Youfoodz,/go/youfoodz/,Australia,prepared meals,"Australian ready-meal brand with prepared meals, snacks, and mainstream demand",https://www.youfoodz.com/,affiliate application,Keep as AU prepared-meal anchor,route_ready_affiliate_pending
